period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-03,NUS,U.S.,EPG0,Natural Gas,SSI,Salt Underground Storage Activity-Injects,N5440US2,U.S. Natural Gas Salt Underground Storage Activity-Injects  (MMcf),81381,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SSB,Salt - Underground Storage - Base Gas,N5400US2,U.S. Natural Gas Salt - Underground Storage - Base Gas  (MMcf),207073,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SNW,Non-Salt Underground Storage Activity-Withdraw,N5550US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Withdraw  (MMcf),253879,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4466868,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SSN,Salt Underground Storage Activity-Net,N5460US2,U.S. Natural Gas Salt Underground Storage Activity-Net  (MMcf),-15655,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SNT,Non-Salt Underground Storage - Total,N5520US2,U.S. Natural Gas Non-Salt Underground Storage - Total  (MMcf),6257786,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070US2,U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),46062,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SAI,Underground Storage Injections,N5050US2,U.S. Total Natural Gas Injections into Underground Storage (MMcf),273544,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SNO,Non-Salt Underground Storage - Working Gas,N5510US2,U.S. Natural Gas Non-Salt Underground Storage - Working Gas  (MMcf),1997990,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SNN,Non-Salt Underground Storage Activity-Net,N5560US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Net  (MMcf),61716,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SAW,Underground Storage Withdrawals,N5060US2,U.S. Natural  Gas Underground Storage Withdrawals (MMcf),319605,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SAO,Underground Storage Working Gas,N5020US2,U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),2306055,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SSO,Salt Underground Storage - Working Gas,N5410US2,U.S. Natural Gas Salt Underground Storage - Working Gas  (MMcf),308064,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SNB,Non-Salt Underground Storage  - Base Gas,N5500US2,U.S. Natural Gas Non-Salt Underground Storage  - Base Gas  (MMcf),4259795,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,SSW,Salt Underground Storage Activity-Withdraw,N5450US2,U.S. Natural Gas Salt Underground Storage Activity-Withdraw  (MMcf),65727,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SAI,Underground Storage Injections,N5050US2,U.S. Total Natural Gas Injections into Underground Storage (MMcf),194882,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SNW,Non-Salt Underground Storage Activity-Withdraw,N5550US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Withdraw  (MMcf),395406,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SNT,Non-Salt Underground Storage - Total,N5520US2,U.S. Natural Gas Non-Salt Underground Storage - Total  (MMcf),6317181,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070US2,U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),262715,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SNN,Non-Salt Underground Storage Activity-Net,N5560US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Net  (MMcf),290893,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SAW,Underground Storage Withdrawals,N5060US2,U.S. Natural  Gas Underground Storage Withdrawals (MMcf),457597,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4467813,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SSW,Salt Underground Storage Activity-Withdraw,N5450US2,U.S. Natural Gas Salt Underground Storage Activity-Withdraw  (MMcf),62191,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SNI,Non-Salt Underground Storage Injections,N5540US2,U.S. Natural Gas Non-Salt Underground Storage Injections (MMcf),104512,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SST,Salt Underground Storage - Total,N5420US2,U.S. Natural Gas Salt Underground Storage - Total  (MMcf),500310,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SSI,Salt Underground Storage Activity-Injects,N5440US2,U.S. Natural Gas Salt Underground Storage Activity-Injects  (MMcf),90370,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SNO,Non-Salt Underground Storage - Working Gas,N5510US2,U.S. Natural Gas Non-Salt Underground Storage - Working Gas  (MMcf),2056341,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SSO,Salt Underground Storage - Working Gas,N5410US2,U.S. Natural Gas Salt Underground Storage - Working Gas  (MMcf),293338,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SAO,Underground Storage Working Gas,N5020US2,U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),2349679,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SSN,Salt Underground Storage Activity-Net,N5460US2,U.S. Natural Gas Salt Underground Storage Activity-Net  (MMcf),-28179,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SSB,Salt - Underground Storage - Base Gas,N5400US2,U.S. Natural Gas Salt - Underground Storage - Base Gas  (MMcf),206973,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,SNB,Non-Salt Underground Storage  - Base Gas,N5500US2,U.S. Natural Gas Non-Salt Underground Storage  - Base Gas  (MMcf),4260840,MMCF
2024-01,NUS,U.S.,EPG0,Natural Gas,SST,Salt Underground Storage - Total,N5420US2,U.S. Natural Gas Salt Underground Storage - Total  (MMcf),472034,MMCF
