"Year","Report<BR>State","Plant Name","Owner Company","Operator Company","County Name","Zipcode","Plant Capacity","Plant Flow","BTU Content","Dry Gas Storage Capacity","NG Liquid Storage Capacity"
"2017","OK","Okarche","DCP Operating Company, LP","DCP Operating Company, LP","Kingfisher","73762-9628","165","150","1165","","3095"
"2017","OK","Osage Hills Gas Plant","OSAGE HILLS PIPELINE COMPANY, LLC","ALEX GAS SYSTEMS","OSAGE","74002","5","3","","","500"
"2017","OK","Paden Plant","Kinder Morgan (Scissortail Energy LLC)","Kinder Morgan (Scissortail Energy LLC)","Okfuskee","74860","90","50","1235","","1550"
"2017","OK","Panther Creek Natural Gas Processing","ONEOK","ONEOK","Custer","73626","75","75","1120","","875"
"2017","OK","Perkins Plant","Superior Pipeline Company LLC","Superior Pipeline Company LLC","Payne","74059","30","3.5","1280","0","700"
"2017","OK","Rodman","Mustang Ventures Company","Mustang Gas Products, LLC","Garfield","73773","80","68","1200","","580"
"2017","OK","Roger Mills","Enable Midstream","Enable Midstream","RogerMills","73628","100","30","1065","0","1200"
"2017","OK","Rose Valley","SemGas, LP","SemGas, LP","Woods","73717-5073","400","250","1130","",""
"2017","OK","Sholem Alechem","DCP Operating Company, LP","DCP Operating Company, LP","Stephens-Carter","73533","60","55","1235","","5950"
"2017","OK","South Canadian","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","Canadian","73014","200","200","1152","",""
"2017","OK","Stephens Natural Gas Processing","ONEOK","ONEOK","Stephens","73491","30","27","1145","","500"
"2017","OK","Sweetwater Plant","Enbridge G&P (Oklahoma), L.P.","Enbridge G&P (Oklahoma), L.P.","Beckham","73662","125","65","1143","",""
"2017","OK","Tecumseh Gas Plant","Enerfin Resources Company","Enerfin Resources I LP","Pottatomie","74873","20","10","1310","","1400"
"2017","OK","Thomas","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","CUSTER","73669","150","93","1051","",""
"2017","OK","Tupelo Gas Plant","Targa Resources","Targa Resources","Coal","74538","125","122","1223","",""
"2017","OK","Velma Gas Plant","Targa Pipeline Mid-Continent LLC","Targa Pipeline Mid-Continent LLC","Stephens","73491","160","151","1210","","4500"
"2017","OK","Waynoka Plant","TPL MID-CONTINENT WESTOK, LLC","TPL MID-CONTINENT WESTOK, LLC","Woods","73717","430","340","1130","",""
"2017","OK","Wetumka","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","HUGHES","74883","60","36","1190","","2857"
"2017","OK","Woodward Natural Gas Processing","ONEOK","ONEOK","Woodward","73802","70","65","1150","","65500"
"2017","PA","GRUNDER RUN PLANT","KCS ENERGY, INC.","KCS ENERGY, INC.","WARREN","16365","2","1","1360","","1428"
"2017","PA","Houston Plant","MarkWest Liberty Midstream & Resources","MarkWest Liberty Midstream & Resources","Washington","15301","520","495","1269","",""
"2017","PA","Kane Gas Plant","Kane GPP LP","Elkhorn Gas Processing","McKean","16735","12","5","1293","","3035"
"2017","PA","Keystone Gas Plant","Elkhorn Holdings","Elkhorn Gas Processing","Warren","16735","10","3","1293","","2064"
"2017","PA","Keystone Plant","MarkWest Liberty Midstream & Resource","MarkWest Liberty Midstream & Resource","Butler","16033","410","117","1219","","55571"
"2017","PA","LAFAYETTE","MSL OIL & GAS CORP.","","MCKEAN","16738","2","2","1360","","700"
"2017","PA","Lewis Run Gas Plant","Elkhorn Investments LLC","Elkhorn Gas Processing","McKean","16701","5","","","","1821"
"2017","PA","Penn Cryo Gas Plant","Mountain Gathering, LLC","Mountain Gathering, LLC","Butler","16053","144","140","1180","","5733"
"2017","PA","Roystone Gas Plant","Elkhorn Holdings LLC","Elkhorn Gas Processing","Warren","16347","9","6","1251","","3036"
"2017","PA","Whitetail Gas Plant","Elkhorn Investments, LLC","Elkhorn Gas Processing","Elk","16735","6","2","1150","","1214"
"2017","TN","Rogersville Cryogenic Plant","Continuum Midstream, LLC","Continuum Midstream, LLC","Hawkins","37857","25","12","1225","","2857"
"2017","TX","Ajax Plant","Enbridge Pipelines (Texas Gathering), L.P.","Enbridge Pipelines (Texas Gathering) L.P.","Wheeler","79096","150","150","1192","",""
"2017","TX","Alamo","La Grange Acquisition LP","Energy Transfer Company","Houston","75835","200","125","1140","",""
"2017","TX","Allison Gas Plant","Enbridge Pipelines (Texas Gathering) L.P.","","Wheeler","79003","150","90","1169","",""
"2017","TX","Antelope Hills Plant","ETC Field Services LLC","ETC Field Services LLC","Hemphill","79014","135","79","1287","","864"
"2017","TX","Armstrong Plant","Enterprise Hydrocarbons LP","Enterprise Products Operating LLC","Eddy","88256","200","50","1060","","1200"
"2017","TX","Arrowhead Plant","ETC Texas Pipeline, Ltd.","ETC Texas Pipeline, Ltd.","Reeves","79730","220","196","1258","","1850"
"2017","TX","Austin Giddings","DCP Operating Company, LP","DCP Operating Company, LP","Fayette","78945","95","90","1218","","7238"
"2017","TX","Azle Plant","","Enlink Texas Processing, LP","PARKER","76020","50","","","","1373"
"2017","TX","BENEDUM COMPLEX","WTG GAS PROCESSING LP","WTG SOUTH PERMIAN MIDSTREAM LLC","UPTON","79755","360","242","1278","","750"
"2017","TX","Bearkat Plant","","Coronado Midstream LLC","Glasscock","79739","60","40","1250","","4213"
"2017","TX","Beckville Plant","Enbridge G & P (East Texas) L.P.","Enbridge G & P (East Texas) L.P.","Panola","75631","150","119","1073","","2700"
"2017","TX","Big Lake Plant","Lucid Energy WesTex, LLC","","Reagan","76932","200","140","1150","",""
